Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
650462,1900/02/16,"5 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
40058,1900/03/01,"5 h 50 min","PREALPES DE DIGNE (THOARD ?)","ALPES PROVENCALES",,942521.07,6345509.81,44.17,6.03,4.5,INCERTAINE
40059,1900/03/01,"5 h 55 min","PREALPES DE DIGNE (THOARD ?)","ALPES PROVENCALES",REPLIQUE,947993.88,6342016.16,44.13,6.10,,
1130134,1900/04/05,"22 h 50 min","PIEMONT (CUNEO)",ITALIE,,1062283.56,6375362.46,44.38,7.55,5,"ASSEZ SURE"
1130491,1900/04/15,"5 h 15 min","PIEMONT (CUNEO)",ITALIE,,1051471.44,6378456.93,44.42,7.42,,
690015,1900/04/26,"3 h","LYONNAIS (LYON)",FOREZ-LYONNAIS,,843770.88,6520246.40,45.77,4.85,4,"INFORMATION ISOLÉE"
1130162,1900/05/10,"8 h","PIEMONT (BAGNI DI VINADIO)",ITALIE,,1025639.79,6364085.77,44.30,7.08,5.5,"ASSEZ SURE"
1120276,1900/05/18,"1 h 24 min","LAC LEMAN (MONTREUX ?)",SUISSE,,994311.00,6597890.72,46.42,6.83,5,INCERTAINE
680060,1900/06/03,"17 h","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1030850.17,6813028.57,48.33,7.47,,
680061,1900/06/03,"19 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1033105.48,6816867.77,48.37,7.50,3,"ASSEZ SURE"
680062,1900/06/03,"21 h","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1023757.88,6807065.48,48.28,7.37,4.5,"ASSEZ SURE"
680063,1900/06/04,"0 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1028175.78,6816588.61,48.37,7.43,5,SURE
680064,1900/06/04,"2 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,,1022523.39,6806997.27,48.28,7.35,5,SURE
650463,1900/06/16,"3 h 25 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
10040,1900/07/29,"3 h 30 min","BUGEY (NANTUA)","BRESSE ET JURA BRESSAN",,900636.92,6564434.94,46.15,5.60,,"INFORMATION ISOLÉE"
660035,1900/11/07,,"CERDAGNE (VILLENEUVE-DES-ESCALDES)","PYRENEES ORIENTALES",,613543.93,6154295.79,42.48,1.95,4,INCERTAINE
290017,1900/12/22,"20 h","MONTS D'ARREE (BOLAZEC ?)",BRETAGNE,,217435.77,6836611.29,48.45,-3.53,5,ARBITRAIRE
290018,1900/12/22,"20 h 30 min","MONTS D'ARREE (BOLAZEC ?)",BRETAGNE,REPLIQUE,217435.77,6836611.29,48.45,-3.53,,
730154,1900/12/25,"23 h 15 min","CLUSE DE CHAMBERY (CHAMBERY)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",927455.23,6500553.09,45.57,5.92,5.5,"INFORMATION ISOLÉE"
220016,1901/01,,"PAYS DINANNAIS (BROONS)",BRETAGNE,,312561.93,6818364.65,48.35,-2.23,,
740056,1901/02/10,"3 h 10 min","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",,963943.13,6559439.26,46.08,6.42,,
740057,1901/02/14,"6 h 30 min","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",,963943.13,6559439.26,46.08,6.42,,
1120020,1901/02/15,"6 h 29 min 34 sec","LAC LEMAN (NYON)",SUISSE,,953389.17,6596041.06,46.42,6.30,5,INCERTAINE
1120021,1901/02/17,"6 h 36 min","LAC LEMAN (NYON)",SUISSE,REPLIQUE,950831.18,6595934.63,46.42,6.27,5,"ASSEZ SURE"
650464,1901/02/18,"8 h 30 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
1110015,1901/03/24,"4 h 30 min","FORET NOIRE (LORRACH)",ALLEMAGNE,,1055239.34,6736533.74,47.63,7.73,5,"ASSEZ SURE"
1130383,1901/03/29,"8 h","PIEMONT (SUSA)",ITALIE,,1015715.53,6454408.04,45.12,7.02,,
1130163,1901/04/20,"10 h 30 min","PIEMONT (CUNEO)",ITALIE,,1057401.38,6367664.70,44.32,7.48,6,"ASSEZ SURE"
260097,1901/05/13,"8 h 21 min 12 sec","BAS-PLATEAUX DAUPHINOIS (MANAS)",DAUPHINE,,858707.09,6391000.21,44.60,5.00,7,"ASSEZ SURE"
640429,1901/05/16,"21 h","PAYS BASQUE (ST-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",,355660.01,6238947.02,43.17,-1.23,,
680065,1901/05/22,"7 h 57 min","PLAINE DE HAUTE-ALSACE (ST-LOUIS)",ALSACE,,1038168.87,6728115.50,47.57,7.50,6,SURE
1130164,1901/05/25,"5 h","PIEMONT (TORINO)",ITALIE,,1072443.99,6427885.80,44.85,7.72,6,"ASSEZ SURE"
650210,1901/07/15,"23 h 29 min 55 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,460861.04,6221185.52,43.05,0.07,4,"ASSEZ SURE"
440063,1901/07/20,"1 h 30 min","PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",,355838.71,6689515.23,47.22,-1.55,4,"INFORMATION ISOLÉE"
1100090,1901/08/02,"12 h 30 min","HAINAUT (MONS)",BELGIQUE,,771149.61,7037763.50,50.43,4.00,3.5,"INFORMATION ISOLÉE"
490079,1901/10/28,"5 h 30 min","MAUGES (ST-GEORGES-DES-GARDES)",ANJOU,,417210.21,6678878.04,47.15,-0.73,3.5,"INFORMATION ISOLÉE"
1130132,1901/10/30,"14 h 51 min","LOMBARDIE (W. BRESCIA ?)",ITALIE,,1285080.95,6527922.35,45.60,10.52,8,INCERTAINE
860021,1901/11/18,"22 h 25 min","BRANDES DU HAUT-POITOU (CHARROUX)",POITOU,,495444.01,6562713.36,46.13,0.35,6,"ASSEZ SURE"
860036,1901/11/20,"5 h 55 min","BRANDES DU HAUT-POITOU (CHARROUX)",POITOU,REPLIQUE,499363.08,6564434.94,46.15,0.40,,
660036,1901/12/16,"13 h","CERDAGNE (PORTA)","PYRENEES ORIENTALES",,603993.13,6158138.42,42.52,1.83,5,INCERTAINE
650211,1901/12/20,"14 h 47 min","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,467384.25,6213528.82,42.98,0.15,4,INCERTAINE
1140078,1901/12/27,,"CATALOGNE (GERONA)",ESPAGNE,,684774.91,6098101.06,41.98,2.82,4,"INFORMATION ISOLÉE"
640277,1902/01/02,,"OSSAU (LARUNS)","PYRENEES OCCIDENTALES",,419800.32,6215423.04,42.98,-0.43,,
380043,1902/01/08,"17 h 38 min","BAS-PLATEAUX DAUPHINOIS (BOURGOIN-JALLIEU)",DAUPHINE,,872934.54,6496928.40,45.55,5.22,,
380044,1902/02/22,"16 h 42 min","BAS-PLATEAUX DAUPHINOIS (BOURGOIN-JALLIEU)",DAUPHINE,,872934.54,6496928.40,45.55,5.22,3,"INFORMATION ISOLÉE"
650437,1902/03/28,"11 h 40 min","BIGORRE (LOURDES)","PYRENEES CENTRALES",,449996.37,6221598.50,43.05,-0.07,4,INCERTAINE
640271,1902/05/05,"23 h","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",PRECURSEUR,405527.13,6230900.45,43.12,-0.62,,
640272,1902/05/06,"3 h 2 min 15 sec","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",,401372.96,6229237.14,43.10,-0.67,7,"ASSEZ SURE"
640273,1902/05/06,"6 h 5 min","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",REPLIQUE,401372.96,6229237.14,43.10,-0.67,,
640274,1902/05/06,"19 h","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",REPLIQUE,401372.96,6229237.14,43.10,-0.67,,
640275,1902/05/07,"2 h 45 min","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",REPLIQUE,405527.13,6230900.45,43.12,-0.62,,
640276,1902/05/07,"5 h","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",REPLIQUE,405527.13,6230900.45,43.12,-0.62,,
640278,1902/05/15,"3 h","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,397303.76,6229427.52,43.10,-0.72,4,"ASSEZ SURE"
640279,1902/05/20,"7 h 30 min","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,,
640280,1902/05/22,,"BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES","GROUPE DE SECOUSSES D UN ESSAIM",405951.33,6240155.47,43.20,-0.62,,
640281,1902/06/17,,"BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",REPLIQUE,401372.96,6229237.14,43.10,-0.67,,
640282,1902/07/02,"11 h","BEARN (ASASP-ARROS)","PYRENEES OCCIDENTALES",,405527.13,6230900.45,43.12,-0.62,,
640283,1902/07/15,"5 h","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,,
680071,1902/07/31,"1 h","PLAINE DE HAUTE-ALSACE (WITTELSHEIM)",ALSACE,,1016759.87,6752893.71,47.80,7.23,,
740058,1902/08/31,"2 h 45 min","CHABLAIS (TANINGES)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",978011.99,6561917.47,46.10,6.60,,
640284,1902/09/08,"2 h 21 min","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,407221.03,6238242.53,43.18,-0.60,7,INCERTAINE
330018,1902/09/18,"0 h 10 min","BORDELAIS (BORDEAUX)",GUYENNE,,416976.73,6423181.82,44.85,-0.58,3,"INFORMATION ISOLÉE"
730155,1902/09/25,"2 h","VANOISE (ST-MARTIN-DE-BELLEVILLE)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",973821.09,6482061.38,45.38,6.50,,
650465,1902/10/13,"1 h 38 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3.5,"INFORMATION ISOLÉE"
490064,1902/11,,"MAUGES (LES GARDES)",ANJOU,PRECURSEUR,417210.21,6678878.04,47.15,-0.73,,
1130165,1902/11/21,"9 h 10 min","PIEMONT (SUSA)",ITALIE,,1020118.60,6445366.17,45.03,7.07,5,"ASSEZ SURE"
490065,1902/11/29,"2 h","MAUGES (LES GARDES)",ANJOU,,417210.21,6678878.04,47.15,-0.73,5,"ASSEZ SURE"
560019,1902/12/05,"0 h 5 min","ILE DE BELLE-ILE (LE PALAIS)",BRETAGNE,,238009.34,6719764.63,47.42,-3.13,6,"ASSEZ SURE"
650212,1902/12/29,"2 h 57 min","BIGORRE (CAPVERN)","PYRENEES CENTRALES",,481233.99,6220460.64,43.05,0.32,,
650213,1903/01/14,"12 h 24 min","BIGORRE (E. BAGNERES)","PYRENEES CENTRALES",,475736.42,6218795.59,43.03,0.25,,
1110058,1903/01/26,"0 h 30 min","VALLEE DU RHIN (WORTH)",ALLEMAGNE,,1083868.95,6890552.61,49.00,8.25,5,"ASSEZ SURE"
650214,1903/01/30,"8 h 2 min","BIGORRE (N-E. CAMPAN)","PYRENEES CENTRALES",,475736.42,6218795.59,43.03,0.25,4,ARBITRAIRE
440068,1903/02/01,"14 h","PAYS DE PONTCHATEAU (DREFFEAC)","PAYS NANTAIS ET VENDEEN",,319960.99,6721375.85,47.48,-2.05,4,"INFORMATION ISOLÉE"
1120256,1903/02/04,"7 h 1 min 49 sec","JURA SUISSE (BALE)",SUISSE,,1045783.13,6726700.04,47.55,7.60,3.5,"INFORMATION ISOLÉE"
290019,1903/02/06,"23 h 55 min","E. ILE DE OUESSANT",BRETAGNE,,115688.74,6834774.84,48.35,-4.90,5,INCERTAINE
650466,1903/03/01,"5 h 34 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467651.74,6220936.73,43.05,0.15,3,"INFORMATION ISOLÉE"
90013,1903/03/22,"0 h 15 min","PLANTAUREL (FOIX)","PYRENEES CENTRALES",,594965.71,6193503.87,42.83,1.72,5,ARBITRAIRE
1110059,1903/03/22,"6 h","VALLEE DU RHIN (KARLSRUHE)",ALLEMAGNE,,1079730.46,6897708.88,49.07,8.20,6.5,"ASSEZ SURE"
290020,1903/03/28,"10 h 9 min","MONTS D'ARREE (CARHAIX ?)",BRETAGNE,,195875.01,6816126.76,48.25,-3.80,5,ARBITRAIRE
1130064,1903/04/04,"2 h","RIVIERA DI PONENTE (ONEGLIA)",ITALIE,,1109603.95,6322601.84,43.88,8.10,5.5,"ASSEZ SURE"
290021,1903/04/17,"23 h 37 min","LEON (ABER BENOIT)",BRETAGNE,,144842.11,6854254.67,48.55,-4.53,4,"ASSEZ SURE"
1140092,1903/04/17,"1 h","CATALOGNE (ROSAS)",ESPAGNE,,715151.88,6129632.68,42.27,3.18,,"INFORMATION ISOLÉE"
660089,1903/04/20,"12 h","PLAINE DU ROUSSILLON (SALSES)","PYRENEES ORIENTALES",,693179.32,6192653.92,42.83,2.92,,"INFORMATION ISOLÉE"
660094,1903/04/20,"1 h","PLAINE DU ROUSSILLON (ARGELES-SUR-MER)","PYRENEES ORIENTALES",,698628.79,6159283.25,42.53,2.98,4.5,"INFORMATION ISOLÉE"
1140018,1903/04/20,"8 h 50 min","CATALOGNE (ROSAS)",ESPAGNE,,747949.92,6165022.09,42.58,3.58,6,ARBITRAIRE
1110060,1903/04/24,"19 h 12 min 35 sec","VALLEE DU RHIN (KEHL)",ALLEMAGNE,,1054936.95,6844139.68,48.60,7.82,,
650215,1903/05/04,"5 h 28 min","BIGORRE (E. BAGNERES)","PYRENEES CENTRALES",,475736.42,6218795.59,43.03,0.25,,
650216,1903/05/21,"10 h 23 min 35 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,458144.76,6221287.04,43.05,0.03,4,INCERTAINE
650416,1903/05/31,"3 h","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,
140022,1903/06/15,"11 h 38 min","PLAINE DE CAEN (LUC-SUR-MER)",NORMANDIE,,452729.09,6916478.89,49.30,-0.40,,
660037,1903/06/18,"2 h 20 min","CERDAGNE (OSSEJA)","PYRENEES ORIENTALES",,617613.70,6150534.43,42.45,2.00,5,"ASSEZ SURE"
1140093,1903/06/30,,"CATALOGNE (SETCASAS)",ESPAGNE,,642246.62,6140997.58,42.37,2.30,,"INFORMATION ISOLÉE"
160049,1903/07/04,"10 h 0 min","RUFFECOIS (ST-CLAUD)",CHARENTES,PRECURSEUR,503615.30,6536519.37,45.90,0.47,,"INFORMATION ISOLÉE"
860023,1903/07/04,"12 h 15 min","MELLOIS (CIVRAY)",POITOU,,495444.01,6562713.36,46.13,0.35,5,"ASSEZ SURE"
860024,1903/07/10,"1 h 30 min","MELLOIS (CIVRAY)",POITOU,REPLIQUE,491649.23,6564693.92,46.15,0.30,,
880024,1903/08/06,,"HAUTES-VOSGES (LE THILLOT)",VOSGES,,984005.78,6758643.14,47.87,6.80,,
650467,1903/08/12,"22 h 46 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467651.74,6220936.73,43.05,0.15,4,"INFORMATION ISOLÉE"
1130065,1903/08/25,"1 h 10 min","RIVIERA DI PONENTE (IMPERIA)",ITALIE,,1115315.43,6337821.21,44.02,8.18,4,"ASSEZ SURE"
1130137,1903/09/03,"7 h 25 min","VALLEE DE L'UBAYETTE (LARCHE)","ALPES PROVENCALES",,1008884.10,6379924.61,44.45,6.88,6,ARBITRAIRE
170069,1903/10/27,"2 h 30 min","AUNIS (LA ROCHELLE)",CHARENTES,,381610.99,6578720.73,46.23,-1.13,6,"ASSEZ SURE"
660038,1903/11/08,,"PLAINE DU ROUSSILLON (ESPIRA-DE-L'AGLY)","PYRENEES ORIENTALES",,686346.83,6187104.18,42.78,2.83,,
500032,1903/11/19,"19 h 40 min","BOCAGE NORMAND (ST-LO)",NORMANDIE,,400803.85,6898531.32,49.12,-1.10,4,"INFORMATION ISOLÉE"
680067,1903/12/25,"9 h 5 min","SUNDGAU (NEUWILLER)",ALSACE,,1039737.57,6722641.41,47.52,7.52,,
